"id","pseudonym","catdog","gender","height","optimism","spirituality","ampm","extraversion","agreeableness","conscientiousness","emotional_stability","imagination","internal_control"
2,"coffeeaddict","dog","female",172,7,10,"Evening person",35,41,35,28,34,23
3,"Doglover","dog","female",166,70,10,"Evening person",37,44,22,27,42,21
4,NA,"cat","male",193,65,15,"Evening person",20,44,36,18,41,13
5,"Scottish Broad","dog","female",149,60,65,"Morning person",43,48,37,11,43,23
6,NA,"cat","non-binary",172,100,70,"Evening person",36,44,26,29,46,24
7,"mint","cat","female",162,73,25,"Evening person",37,41,26,22,43,24
8,"Z.Z","dog","male",181,10,60,"Evening person",23,41,33,23,39,14
9,NA,"dog","male",195,70,10,"Morning person",29,37,39,33,42,23
10,NA,"cat","male",180,75,20,"Evening person",29,30,38,34,33,29
11,"mycl","cat","female",153,40,40,"Evening person",17,32,28,15,22,15
12,"BFJ","dog","female",170,50,5,"Evening person",26,46,42,31,39,25
13,"loris","dog","female",160,10,100,"Morning person",14,39,39,25,37,23
14,NA,"cat","male",178,87,67,"Evening person",24,42,45,33,37,26
15,"Skeleton","dog","non-binary",170,100,0,"Morning person",41,49,47,17,50,25
16,"dearest","dog","female",155,50,20,"Evening person",32,42,35,18,37,23
17,"fillerbunny","cat","male",165,85,90,"Evening person",21,44,34,32,39,24
18,"Samantha","cat","female",150,80,10,"Evening person",33,44,44,22,39,28
19,"MeganTheeStallion","cat","female",161,68,25,"Evening person",23,40,34,25,39,19
20,NA,"dog","female",162,79,50,"Evening person",16,36,40,32,30,21
21,"yaci","dog","male",174,70,80,"Morning person",31,43,36,30,32,21
22,"batman142","cat","female",154,45,95,"Morning person",26,41,43,26,25,26
23,"CORGI","dog","female",173,50,65,"Morning person",41,45,26,23,37,16
24,"ITSME","cat","female",170,50,90,"Evening person",40,48,35,16,34,18
25,NA,"cat","male",177,80,80,"Morning person",34,45,29,38,27,24
26,NA,"dog","female",163,60,30,"Evening person",33,39,33,26,34,26
27,"Student A","dog","female",167,20,90,"Evening person",28,26,39,19,31,17
28,NA,"dog","female",165,2,52,"Morning person",21,47,40,30,36,29
29,NA,"cat","female",167,90,60,"Morning person",33,39,29,20,42,21
30,NA,"dog","female",165,88,0,"Evening person",30,47,29,25,39,24
31,"Miro","cat","female",175,60,2,"Evening person",27,39,33,31,49,22
32,"tqf","dog","male",181,60,50,"Evening person",25,37,28,27,34,23
33,"Well","dog","female",158,78,50,"Evening person",19,43,33,22,42,24
34,NA,"dog","female",171,65,54,"Evening person",26,49,36,23,41,26
35,"Cuchulainn","dog","male",186,100,0,"Morning person",15,29,37,17,46,16
36,"mcs6","cat","female",154,62,5,"Morning person",13,36,46,32,32,28
37,NA,"dog","female",171,65,60,"Evening person",34,48,37,23,31,23
38,"Elmo","dog","female",152,75,85,"Morning person",22,48,34,26,37,24
39,NA,"cat","female",175,63,10,"Evening person",20,37,34,18,36,26
40,"OK. The pseudonym is Sandra","dog","female",169,90,0,"Evening person",37,41,32,30,29,18
41,NA,"cat","female",165,72,81,"Morning person",33,44,37,27,41,23
42,"wallace","dog","female",175,80,50,"Morning person",40,45,35,36,30,21
43,"bear","dog","female",160.02,80,80,"Evening person",41,34,32,31,36,24
44,"RileyWiley","dog","female",165.1,50,50,"Evening person",24,43,38,26,31,27
45,NA,"dog","female",162.56,50,50,"Evening person",25,31,32,20,34,15
46,"RD","dog","female",164,5,0,"Evening person",21,44,40,16,50,14
47,NA,"dog","female",168,85,50,"Evening person",29,37,35,38,32,21
48,NA,"dog","female",169,50,60,"Evening person",24,37,31,24,31,20
49,"Sky","cat","female",165,50,60,"Morning person",25,41,43,30,31,28
50,"yello","cat","female",164,100,85,"Evening person",26,47,37,27,31,27
51,NA,"cat","female",165,80,20,"Morning person",24,41,28,39,29,20
52,"plum muncher","dog","female",175,90,24,"Evening person",35,47,45,32,46,27
53,"The real inspector hound","cat","male",178,65,25,"Morning person",15,36,36,33,38,22
54,NA,"dog","female",158,50,10,"Evening person",29,36,39,41,29,30
55,"Slug","cat","female",170.18,75,75,"Evening person",34,47,42,22,39,19
56,NA,"dog","female",160,90,90,"Morning person",25,37,31,31,28,19
57,"Mary","dog","female",153,70,60,"Evening person",35,42,30,32,32,18
